config,task,R@1,Hit@1,R@3,Hit@3,R@5,Hit@5,R@10,Hit@10,MRR@10,nDCG@10,P@5,n
kg,ipc_facts,0.003,0.006,0.0069,0.016,0.0170666666666666,0.032,0.0298666666666666,0.052,0.0168095238095238,0.0160067339470352,0.0068,500
kg,sc_case,0.0068259385665529,0.0068259385665529,0.0170648464163822,0.0170648464163822,0.0204778156996587,0.0204778156996587,0.1177474402730375,0.1177474402730375,0.0242463026166097,0.0447377627430621,0.0040955631399317,586
kg,macro,0.1530747642115307,0.1602091728136812,0.1820530395610848,0.1870162116040955,0.1922355829571727,0.1979850453227641,0.2230191181327755,0.2305685804983669,0.1783961997367604,0.186867701250127,0.0421163639032625,1810
faiss+bm25,bns_qa,0.4766666666666667,0.4766666666666667,0.6266666666666667,0.6266666666666667,0.6966666666666667,0.6966666666666667,0.76,0.76,0.5687533068783068,0.6148397347207407,0.1393333333333333,600
faiss+bm25,const_qa,0.7473118279569892,0.7983870967741935,0.8844086021505376,0.9274193548387096,0.9045698924731184,0.935483870967742,0.9233870967741936,0.9596774193548387,0.8621063748079877,0.8579881564301025,0.1967741935483871,124
faiss+bm25,ipc_facts,0.1407666666666666,0.244,0.1951,0.324,0.2451666666666666,0.39,0.3292333333333333,0.522,0.3063261904761905,0.2531609275376243,0.0904,500
faiss+bm25,sc_case,0.9044368600682594,0.9044368600682594,0.9641638225255972,0.9641638225255972,0.9778156996587032,0.9778156996587032,0.9965870307167236,0.9965870307167236,0.9369894089603988,0.9515545944549496,0.1955631399317406,586
faiss+bm25,macro,0.5672955053396456,0.6058726558772799,0.6675847728357005,0.7105624610077435,0.7060547313662887,0.7499915593232779,0.7523018652060627,0.8095661125178906,0.6685438202807209,0.6693858532858543,0.1555176667033652,1810
faiss+kg,bns_qa,0.465,0.465,0.6033333333333334,0.6033333333333334,0.6666666666666666,0.6666666666666666,0.755,0.755,0.5521263227513228,0.600423369063985,0.1333333333333333,600
faiss+kg,const_qa,0.6989247311827957,0.75,0.8669354838709677,0.9112903225806452,0.8991935483870968,0.935483870967742,0.9462365591397848,0.9596774193548387,0.8273521505376344,0.8412149673975899,0.1967741935483871,124
faiss+kg,ipc_facts,0.1565,0.27,0.2330666666666666,0.372,0.2862666666666666,0.444,0.3895666666666666,0.598,0.3463142857142857,0.2957069553795705,0.1044,500
faiss+kg,sc_case,0.5887372013651877,0.5887372013651877,0.8549488054607508,0.8549488054607508,0.9044368600682594,0.9044368600682594,0.9419795221843004,0.9419795221843004,0.7203410260577496,0.7752630289119806,0.1808873720136518,586
faiss+kg,macro,0.4772904831369959,0.518434300341297,0.6395710723329296,0.6853931153436823,0.6891409354471724,0.7376468494256669,0.758195686997688,0.8136642353847847,0.6115334462652481,0.6281520801882815,0.1538487247238431,1810
bm25+kg,bns_qa,0.3233333333333333,0.3233333333333333,0.445,0.445,0.4866666666666667,0.4866666666666667,0.5416666666666666,0.5416666666666666,0.3938948412698412,0.4295282567740681,0.0973333333333333,600
bm25+kg,const_qa,0.6196236559139785,0.6612903225806451,0.799731182795699,0.8306451612903226,0.8508064516129032,0.8790322580645161,0.9018817204301076,0.9274193548387096,0.7494143625192012,0.7743136770050314,0.1854838709677419,124
bm25+kg,ipc_facts,0.0,0.0,0.0056666666666666,0.01,0.0083333333333333,0.016,0.0161333333333333,0.034,0.0075468253968253,0.0081850571187003,0.0032,500
bm25+kg,sc_case,0.674061433447099,0.674061433447099,0.9488054607508531,0.9488054607508531,0.9795221843003412,0.9795221843003412,0.9965870307167236,0.9965870307167236,0.8087829784928761,0.85623117142043,0.1959044368600682,586
bm25+kg,macro,0.4042546056736027,0.4146712723402693,0.5498008275533047,0.5586126555102939,0.5813321589783111,0.5903052772578811,0.6140671877867077,0.624918263055525,0.489909751919686,0.5170645405795575,0.1204804102902858,1810
faiss+bm25+kg,bns_qa,0.5133333333333333,0.5133333333333333,0.6333333333333333,0.6333333333333333,0.6966666666666667,0.6966666666666667,0.7566666666666667,0.7566666666666667,0.5903181216931217,0.6302154320678318,0.1393333333333333,600
faiss+bm25+kg,const_qa,0.7916666666666667,0.8387096774193549,0.9005376344086022,0.9435483870967742,0.9206989247311828,0.9516129032258064,0.935483870967742,0.967741935483871,0.8894137224782386,0.884237580898653,0.2,124
faiss+bm25+kg,ipc_facts,0.0681,0.104,0.1460666666666666,0.244,0.2044,0.326,0.3102333333333333,0.49,0.2027563492063492,0.1972678239297309,0.072,500
faiss+bm25+kg,sc_case,0.8071672354948806,0.8071672354948806,0.953924914675768,0.953924914675768,0.9795221843003412,0.9795221843003412,0.9931740614334472,0.9931740614334472,0.8835608646188851,0.9111124304386352,0.1959044368600682,586
faiss+bm25+kg,macro,0.5450668088737202,0.5658025615618922,0.6584656372710925,0.6937016587764688,0.7003219439245477,0.7384504385482037,0.7488894831002972,0.8018956658959963,0.6415122644991487,0.6557083168337128,0.1518094425483504,1810
"faiss+bm25+kg[w_kg=0.5,boost=1.0]",bns_qa,0.51,0.51,0.6333333333333333,0.6333333333333333,0.6983333333333334,0.6983333333333334,0.7616666666666667,0.7616666666666667,0.5887056878306878,0.6301830286260598,0.1396666666666667,600
"faiss+bm25+kg[w_kg=0.5,boost=1.0]",const_qa,0.7755376344086022,0.8225806451612904,0.8924731182795699,0.935483870967742,0.9126344086021506,0.9435483870967742,0.9274193548387096,0.9596774193548387,0.8791090629800308,0.8744786582194798,0.1983870967741935,124
"faiss+bm25+kg[w_kg=0.5,boost=1.0]",ipc_facts,0.0711666666666666,0.112,0.1525666666666666,0.254,0.2226,0.35,0.3305333333333333,0.514,0.2125650793650793,0.2081369564523128,0.0796,500
"faiss+bm25+kg[w_kg=0.5,boost=1.0]",sc_case,0.8310580204778157,0.8310580204778157,0.9590443686006824,0.9590443686006824,0.9726962457337884,0.9726962457337884,0.9948805460750854,0.9948805460750854,0.8965321794246709,0.9210404323452444,0.1945392491467577,586
"faiss+bm25+kg[w_kg=0.5,boost=1.0]",macro,0.5469405803882712,0.5689096664097766,0.6593543717200632,0.6954653932254394,0.701565996917318,0.7411444915409741,0.7536249752284487,0.8075561580241477,0.6442280024001172,0.6584597689107742,0.1530482531469044,1810
"faiss+bm25+kg[w_kg=1.0,boost=1.0]",bns_qa,0.5133333333333333,0.5133333333333333,0.6333333333333333,0.6333333333333333,0.6966666666666667,0.6966666666666667,0.7566666666666667,0.7566666666666667,0.5903181216931217,0.6302154320678318,0.1393333333333333,600
"faiss+bm25+kg[w_kg=1.0,boost=1.0]",const_qa,0.7916666666666667,0.8387096774193549,0.9005376344086022,0.9435483870967742,0.9206989247311828,0.9516129032258064,0.935483870967742,0.967741935483871,0.8894137224782386,0.884237580898653,0.2,124
"faiss+bm25+kg[w_kg=1.0,boost=1.0]",ipc_facts,0.0681,0.104,0.1460666666666666,0.244,0.2044,0.326,0.3102333333333333,0.49,0.2027563492063492,0.1972678239297309,0.072,500
"faiss+bm25+kg[w_kg=1.0,boost=1.0]",sc_case,0.8071672354948806,0.8071672354948806,0.953924914675768,0.953924914675768,0.9795221843003412,0.9795221843003412,0.9931740614334472,0.9931740614334472,0.8835608646188851,0.9111124304386352,0.1959044368600682,586
"faiss+bm25+kg[w_kg=1.0,boost=1.0]",macro,0.5450668088737202,0.5658025615618922,0.6584656372710925,0.6937016587764688,0.7003219439245477,0.7384504385482037,0.7488894831002972,0.8018956658959963,0.6415122644991487,0.6557083168337128,0.1518094425483504,1810
"faiss+bm25+kg[w_kg=1.0,boost=2.0]",bns_qa,0.4833333333333333,0.4833333333333333,0.585,0.585,0.6716666666666666,0.6716666666666666,0.7283333333333334,0.7283333333333334,0.5563941798941798,0.5974906187256633,0.1343333333333333,600
"faiss+bm25+kg[w_kg=1.0,boost=2.0]",const_qa,0.7755376344086022,0.8225806451612904,0.9032258064516128,0.935483870967742,0.922043010752688,0.9435483870967742,0.9368279569892474,0.9596774193548387,0.8759728622631849,0.8798860425167022,0.2032258064516129,124
"faiss+bm25+kg[w_kg=1.0,boost=2.0]",ipc_facts,0.009,0.016,0.0390333333333333,0.066,0.0561666666666666,0.092,0.0784333333333333,0.132,0.0490619047619047,0.0472456072194463,0.0192,500
"faiss+bm25+kg[w_kg=1.0,boost=2.0]",sc_case,0.3447098976109215,0.3447098976109215,0.8395904436860068,0.8395904436860068,0.9180887372013652,0.9180887372013652,0.9675767918088736,0.9675767918088736,0.5981973563031583,0.6908806523918374,0.183617747440273,586
"faiss+bm25+kg[w_kg=1.0,boost=2.0]",macro,0.4031452163382142,0.4166559690263863,0.5917123958677383,0.6065185786634372,0.6419912703218467,0.6563259477412016,0.6777928538661969,0.6968968861242615,0.519906575805607,0.5538757302134123,0.1350942218063048,1810
"faiss+bm25+kg[w_kg=1.0,boost=3.0]",bns_qa,0.4783333333333333,0.4783333333333333,0.5683333333333334,0.5683333333333334,0.625,0.625,0.6833333333333333,0.6833333333333333,0.538912037037037,0.5732924559700138,0.125,600
"faiss+bm25+kg[w_kg=1.0,boost=3.0]",const_qa,0.7715053763440861,0.8145161290322581,0.8870967741935484,0.9193548387096774,0.913978494623656,0.935483870967742,0.9368279569892474,0.9596774193548387,0.8652969790066565,0.8730453412025266,0.2016129032258064,124
"faiss+bm25+kg[w_kg=1.0,boost=3.0]",ipc_facts,0.009,0.016,0.0360333333333333,0.062,0.0434333333333333,0.072,0.0622,0.106,0.0425928571428571,0.0392978410953417,0.0152,500
"faiss+bm25+kg[w_kg=1.0,boost=3.0]",sc_case,0.2286689419795221,0.2286689419795221,0.3293515358361775,0.3293515358361775,0.3378839590443686,0.3378839590443686,0.3430034129692833,0.3430034129692833,0.2801952976867652,0.2962561503405021,0.0675767918088737,586
"faiss+bm25+kg[w_kg=1.0,boost=3.0]",macro,0.3718769129142354,0.3843796010862784,0.4552037441740981,0.469759926969797,0.4800739467503395,0.4925919575030276,0.506341175822966,0.5230035414143639,0.4317492927183289,0.445472947152096,0.10234742375867,1810
"faiss+bm25+kg[w_kg=2.0,boost=1.0]",bns_qa,0.455,0.455,0.5783333333333334,0.5783333333333334,0.66,0.66,0.7216666666666667,0.7216666666666667,0.5377156084656085,0.5818058555456955,0.132,600
"faiss+bm25+kg[w_kg=2.0,boost=1.0]",const_qa,0.7083333333333333,0.75,0.8870967741935484,0.9193548387096774,0.9018817204301076,0.9274193548387096,0.9368279569892474,0.9596774193548387,0.8337781618023554,0.8488422598375572,0.1983870967741935,124
"faiss+bm25+kg[w_kg=2.0,boost=1.0]",ipc_facts,0.008,0.014,0.0335333333333333,0.056,0.0506666666666666,0.082,0.0709333333333333,0.12,0.0429095238095238,0.0420041560180096,0.0172,500
"faiss+bm25+kg[w_kg=2.0,boost=1.0]",sc_case,0.3071672354948805,0.3071672354948805,0.8122866894197952,0.8122866894197952,0.9061433447098975,0.9061433447098975,0.9658703071672357,0.9658703071672357,0.5682444877837369,0.6675650235409818,0.1812286689419795,586
"faiss+bm25+kg[w_kg=2.0,boost=1.0]",macro,0.3696251422070534,0.3815418088737201,0.5778125325700025,0.5914937153657015,0.6296729329516679,0.6438906748871518,0.6738245660391208,0.6918035982971852,0.4956619454653062,0.535054323735561,0.1322039414290432,1810
faiss+bm25+kg[rrf_k=20],bns_qa,0.5133333333333333,0.5133333333333333,0.64,0.64,0.7,0.7,0.7566666666666667,0.7566666666666667,0.5912791005291005,0.6310517884729655,0.14,600
faiss+bm25+kg[rrf_k=20],const_qa,0.7916666666666667,0.8387096774193549,0.9005376344086022,0.9435483870967742,0.9206989247311828,0.9516129032258064,0.935483870967742,0.967741935483871,0.8900729646697388,0.8849646141868618,0.2,124
faiss+bm25+kg[rrf_k=20],ipc_facts,0.0705,0.11,0.1500666666666666,0.252,0.2085666666666666,0.332,0.3112333333333333,0.49,0.2070873015873016,0.1995008389926791,0.0736,500
faiss+bm25+kg[rrf_k=20],sc_case,0.8225255972696246,0.8225255972696246,0.9607508532423208,0.9607508532423208,0.984641638225256,0.984641638225256,0.9931740614334472,0.9931740614334472,0.8942284251584592,0.91923060847439,0.1969283276450512,586
