config,task,R@1,Hit@1,R@3,Hit@3,R@5,Hit@5,R@10,Hit@10,MRR@10,nDCG@10,P@5,n
kg,ipc_facts,0.003,0.006,0.0069,0.016,0.0170666666666666,0.032,0.0298666666666666,0.052,0.0168095238095238,0.0160067339470352,0.0068,500
kg,sc_case,0.0068259385665529,0.0068259385665529,0.0170648464163822,0.0170648464163822,0.0204778156996587,0.0204778156996587,0.1177474402730375,0.1177474402730375,0.0242463026166097,0.0447377627430621,0.0040955631399317,586
kg,macro,0.1530747642115307,0.1602091728136812,0.1820530395610848,0.1870162116040955,0.1922355829571727,0.1979850453227641,0.2230191181327755,0.2305685804983669,0.1783961997367604,0.186867701250127,0.0421163639032625,1810
faiss+bm25,bns_qa,0.28,0.28,0.41,0.41,0.4816666666666667,0.4816666666666667,0.5733333333333334,0.5733333333333334,0.3675813492063492,0.4166058221159957,0.0963333333333333,600
faiss+bm25,const_qa,0.6693548387096774,0.7096774193548387,0.8037634408602151,0.8387096774193549,0.864247311827957,0.8951612903225806,0.8884408602150538,0.9193548387096774,0.7878456221198156,0.7970819817775072,0.1887096774193548,124
faiss+bm25,ipc_facts,0.0,0.0,0.002,0.002,0.002,0.002,0.0047333333333333,0.01,0.0016246031746031,0.002178317808632,0.0004,500
faiss+bm25,sc_case,0.9419795221843004,0.9419795221843004,0.9812286689419796,0.9812286689419796,0.9863481228668942,0.9863481228668942,0.9982935153583616,0.9982935153583616,0.9636444281922096,0.9721102702395432,0.1972696245733788,586
faiss+bm25,macro,0.4728335902234944,0.4829142353847848,0.5492480274505487,0.5579845865903337,0.5835655253403795,0.5912940199640354,0.6162002605600205,0.6252454218503432,0.5301740006732444,0.5469940979854195,0.1206781588315167,1810
faiss+kg,bns_qa,0.26,0.26,0.4433333333333333,0.4433333333333333,0.5166666666666667,0.5166666666666667,0.5733333333333334,0.5733333333333334,0.3692533068783069,0.4189374788982636,0.1033333333333333,600
faiss+kg,const_qa,0.6276881720430108,0.6693548387096774,0.8091397849462365,0.8387096774193549,0.8333333333333333,0.8548387096774194,0.8723118279569892,0.8870967741935484,0.7490591397849463,0.7687982347023707,0.182258064516129,124
faiss+kg,ipc_facts,0.0,0.0,0.002,0.006,0.004,0.008,0.0104,0.022,0.0050412698412698,0.0051564309243782,0.0016,500
faiss+kg,sc_case,0.6552901023890785,0.6552901023890785,0.89419795221843,0.89419795221843,0.947098976109215,0.947098976109215,0.9744027303754266,0.9744027303754266,0.7800050111056936,0.8284365374337502,0.189419795221843,586
faiss+kg,macro,0.3857445686080223,0.3961612352746889,0.5371677676244999,0.5455602407427795,0.5752747440273038,0.5816510881133252,0.6076119729164373,0.6142082094755771,0.4758396819025542,0.5053321704896907,0.1191527982678263,1810
bm25+kg,bns_qa,0.3233333333333333,0.3233333333333333,0.445,0.445,0.4866666666666667,0.4866666666666667,0.5416666666666666,0.5416666666666666,0.3938948412698412,0.4295282567740681,0.0973333333333333,600
bm25+kg,const_qa,0.6196236559139785,0.6612903225806451,0.799731182795699,0.8306451612903226,0.8508064516129032,0.8790322580645161,0.9018817204301076,0.9274193548387096,0.7494143625192012,0.7743136770050314,0.1854838709677419,124
bm25+kg,ipc_facts,0.0,0.0,0.0056666666666666,0.01,0.0083333333333333,0.016,0.0161333333333333,0.034,0.0075468253968253,0.0081850571187003,0.0032,500
bm25+kg,sc_case,0.674061433447099,0.674061433447099,0.9488054607508531,0.9488054607508531,0.9795221843003412,0.9795221843003412,0.9965870307167236,0.9965870307167236,0.8087829784928761,0.85623117142043,0.1959044368600682,586
bm25+kg,macro,0.4042546056736027,0.4146712723402693,0.5498008275533047,0.5586126555102939,0.5813321589783111,0.5903052772578811,0.6140671877867077,0.624918263055525,0.489909751919686,0.5170645405795575,0.1204804102902858,1810
faiss+bm25+kg,bns_qa,0.355,0.355,0.4966666666666666,0.4966666666666666,0.5633333333333334,0.5633333333333334,0.6266666666666667,0.6266666666666667,0.4415509259259259,0.4861100801937917,0.1126666666666666,600
faiss+bm25+kg,const_qa,0.700268817204301,0.7419354838709677,0.8360215053763441,0.8709677419354839,0.8884408602150538,0.9193548387096774,0.9126344086021506,0.935483870967742,0.8133960573476703,0.8244614659442842,0.1935483870967742,124
faiss+bm25+kg,ipc_facts,0.0,0.0,0.0,0.0,0.0025,0.004,0.0087333333333333,0.018,0.002629365079365,0.0036061700627062,0.0008,500
faiss+bm25+kg,sc_case,0.8242320819112628,0.8242320819112628,0.9709897610921502,0.9709897610921502,0.984641638225256,0.984641638225256,0.9982935153583616,0.9982935153583616,0.8991298282680535,0.9241472834226798,0.1969283276450512,586
faiss+bm25+kg,macro,0.469875224778891,0.4802918914455576,0.5759194832837903,0.5846560424235752,0.6097289579434108,0.6178324525670666,0.6365819809901281,0.6446110132481926,0.5391765441552537,0.5595812499058654,0.125985845352123,1810
"faiss+bm25+kg[w_kg=0.5,boost=1.0]",bns_qa,0.3083333333333333,0.3083333333333333,0.465,0.465,0.5483333333333333,0.5483333333333333,0.615,0.615,0.4059021164021164,0.4563333734018552,0.1096666666666666,600
"faiss+bm25+kg[w_kg=0.5,boost=1.0]",const_qa,0.6760752688172043,0.717741935483871,0.8198924731182796,0.8548387096774194,0.8723118279569892,0.9032258064516128,0.8884408602150538,0.9193548387096774,0.7896505376344086,0.7997155199824898,0.1903225806451613,124
"faiss+bm25+kg[w_kg=0.5,boost=1.0]",ipc_facts,0.0,0.0,0.0,0.0,0.002,0.002,0.0043333333333333,0.008,0.0011857142857142,0.0017999881205949,0.0004,500
"faiss+bm25+kg[w_kg=0.5,boost=1.0]",sc_case,0.8549488054607508,0.8549488054607508,0.9744027303754266,0.9744027303754266,0.9863481228668942,0.9863481228668942,0.9982935153583616,0.9982935153583616,0.9169321198331436,0.9374453745127664,0.1972696245733788,586
"faiss+bm25+kg[w_kg=0.5,boost=1.0]",macro,0.4598393519028221,0.4702560185694888,0.5648238008734265,0.5735603600132115,0.6022483210393041,0.6099768156629601,0.6265169272266872,0.6351620885170097,0.5284176220388458,0.5488235640044266,0.1244147179713017,1810
"faiss+bm25+kg[w_kg=1.0,boost=1.0]",bns_qa,0.355,0.355,0.4966666666666666,0.4966666666666666,0.5633333333333334,0.5633333333333334,0.6266666666666667,0.6266666666666667,0.4415509259259259,0.4861100801937917,0.1126666666666666,600
"faiss+bm25+kg[w_kg=1.0,boost=1.0]",const_qa,0.700268817204301,0.7419354838709677,0.8360215053763441,0.8709677419354839,0.8884408602150538,0.9193548387096774,0.9126344086021506,0.935483870967742,0.8133960573476703,0.8244614659442842,0.1935483870967742,124
"faiss+bm25+kg[w_kg=1.0,boost=1.0]",ipc_facts,0.0,0.0,0.0,0.0,0.0025,0.004,0.0087333333333333,0.018,0.002629365079365,0.0036061700627062,0.0008,500
"faiss+bm25+kg[w_kg=1.0,boost=1.0]",sc_case,0.8242320819112628,0.8242320819112628,0.9709897610921502,0.9709897610921502,0.984641638225256,0.984641638225256,0.9982935153583616,0.9982935153583616,0.8991298282680535,0.9241472834226798,0.1969283276450512,586
"faiss+bm25+kg[w_kg=1.0,boost=1.0]",macro,0.469875224778891,0.4802918914455576,0.5759194832837903,0.5846560424235752,0.6097289579434108,0.6178324525670666,0.6365819809901281,0.6446110132481926,0.5391765441552537,0.5595812499058654,0.125985845352123,1810
"faiss+bm25+kg[w_kg=1.0,boost=2.0]",bns_qa,0.35,0.35,0.4833333333333333,0.4833333333333333,0.5416666666666666,0.5416666666666666,0.6133333333333333,0.6133333333333333,0.4338558201058201,0.4769650630077188,0.1083333333333333,600
"faiss+bm25+kg[w_kg=1.0,boost=2.0]",const_qa,0.6922043010752688,0.7338709677419355,0.8440860215053764,0.8709677419354839,0.8897849462365591,0.9112903225806452,0.9099462365591398,0.9274193548387096,0.8077508960573476,0.8244127242549765,0.1967741935483871,124
"faiss+bm25+kg[w_kg=1.0,boost=2.0]",ipc_facts,0.0005,0.002,0.0064,0.014,0.0109,0.022,0.0234666666666666,0.042,0.0111801587301587,0.0114329644649761,0.0048,500
"faiss+bm25+kg[w_kg=1.0,boost=2.0]",sc_case,0.431740614334471,0.431740614334471,0.8907849829351536,0.8907849829351536,0.953924914675768,0.953924914675768,0.9829351535836176,0.9829351535836176,0.6634839373747223,0.7441894379949975,0.1907849829351536,586
"faiss+bm25+kg[w_kg=1.0,boost=2.0]",macro,0.3686112288524349,0.3794028955191016,0.5561510844434658,0.5647715145509927,0.5990691318947484,0.6072204759807699,0.6324203475356893,0.6414219604389151,0.4790677030670122,0.5142500474306673,0.1251731274542185,1810
"faiss+bm25+kg[w_kg=1.0,boost=3.0]",bns_qa,0.3416666666666667,0.3416666666666667,0.4633333333333333,0.4633333333333333,0.5116666666666667,0.5116666666666667,0.58,0.58,0.4171369047619047,0.4561577975516324,0.1023333333333333,600
"faiss+bm25+kg[w_kg=1.0,boost=3.0]",const_qa,0.6801075268817204,0.717741935483871,0.8306451612903226,0.8548387096774194,0.8817204301075269,0.9032258064516128,0.9099462365591398,0.9274193548387096,0.793042754736303,0.8150238561992322,0.1951612903225806,124
"faiss+bm25+kg[w_kg=1.0,boost=3.0]",ipc_facts,0.0005,0.002,0.0064,0.014,0.0109,0.022,0.0258666666666666,0.048,0.0120238095238095,0.0124565304479961,0.0048,500
"faiss+bm25+kg[w_kg=1.0,boost=3.0]",sc_case,0.2320819112627986,0.2320819112627986,0.3310580204778157,0.3310580204778157,0.3378839590443686,0.3378839590443686,0.3447098976109215,0.3447098976109215,0.2813634270545533,0.2974630883901273,0.0675767918088737,586
"faiss+bm25+kg[w_kg=1.0,boost=3.0]",macro,0.3135890262027964,0.3233726283533341,0.4078591287753679,0.4158075158721421,0.4355427639546405,0.443694108040662,0.4651307002091819,0.4750323131124078,0.3758917240191426,0.395275318147247,0.0924678538661969,1810
"faiss+bm25+kg[w_kg=2.0,boost=1.0]",bns_qa,0.3416666666666667,0.3416666666666667,0.48,0.48,0.5416666666666666,0.5416666666666666,0.6133333333333333,0.6133333333333333,0.4271686507936508,0.4718441413722676,0.1083333333333333,600
"faiss+bm25+kg[w_kg=2.0,boost=1.0]",const_qa,0.6438172043010753,0.6854838709677419,0.8360215053763441,0.8629032258064516,0.8817204301075269,0.9032258064516128,0.9099462365591398,0.9274193548387096,0.7722094214029698,0.7976176959632051,0.1951612903225806,124
"faiss+bm25+kg[w_kg=2.0,boost=1.0]",ipc_facts,0.0005,0.002,0.0064,0.014,0.0109,0.022,0.0234666666666666,0.042,0.0111801587301587,0.0114329644649761,0.0048,500
"faiss+bm25+kg[w_kg=2.0,boost=1.0]",sc_case,0.3959044368600682,0.3959044368600682,0.8737201365187713,0.8737201365187713,0.9488054607508531,0.9488054607508531,0.9795221843003412,0.9795221843003412,0.6380166856276072,0.7241217195677216,0.1897610921501706,586
"faiss+bm25+kg[w_kg=2.0,boost=1.0]",macro,0.3454720769569525,0.3562637436236192,0.5490354104737788,0.5576558405813057,0.5957731393812616,0.6039244834672832,0.6315671052148703,0.640568718118096,0.4621437291385966,0.5012541303420426,0.1245139289515211,1810
faiss+bm25+kg[rrf_k=20],bns_qa,0.355,0.355,0.4983333333333333,0.4983333333333333,0.565,0.565,0.6283333333333333,0.6283333333333333,0.4424986772486772,0.4872659466120122,0.1129999999999999,600
faiss+bm25+kg[rrf_k=20],const_qa,0.700268817204301,0.7419354838709677,0.8440860215053764,0.8790322580645161,0.9005376344086022,0.9274193548387096,0.9126344086021506,0.935483870967742,0.8147849462365592,0.8261961811014004,0.1967741935483871,124
faiss+bm25+kg[rrf_k=20],ipc_facts,0.0,0.0,0.0,0.0,0.0025,0.004,0.0087333333333333,0.018,0.002629365079365,0.0036061700627062,0.0008,500
faiss+bm25+kg[rrf_k=20],sc_case,0.8515358361774744,0.8515358361774744,0.9778156996587032,0.9778156996587032,0.9880546075085324,0.9880546075085324,0.9982935153583616,0.9982935153583616,0.9160761688065442,0.9369027680350208,0.1976109215017065,586
